scl,S0102-37722019000100508,research-article,mauro pioli,rehbein,2019,psicologia teoria e pesquisa,psic teor e pesq,0102-3772,1806-3446,,1,35,
scl,S0101-32892019000200163,research-article,marcos goncalves,maciel,2019-06,revista brasileira de ciencias do esporte,rev bras cienc esporte,0101-3289,2179-3255,2,2,41,163
scl,S1806-37132019000301002,letter,lilia maia,santos,2019,jornal brasileiro de pneumologia,j bras pneumol,1806-3713,1806-3756,3,3,45,
scl,S0102-37722019000100509,research-article,christiane pantoja de,souza,2019,psicologia teoria e pesquisa,psic teor e pesq,0102-3772,1806-3446,,1,35,
scl,S0101-90742019000100407,research-article,teresa,malatian,2019,historia sao paulo,historia,0101-9074,1980-4369,,1,38,
scl,S0101-90742019000100501,book-review,charles nascimento de,sa,2019,historia sao paulo,historia,0101-9074,1980-4369,,1,38,
scl,S0101-90742019000100601,undefined,moizeis sobreira de,sousa,2019,historia sao paulo,historia,0101-9074,1980-4369,,1,38,
scl,S1806-37132019000301001,letter,magali santos,lumertz,2019,jornal brasileiro de pneumologia,j bras pneumol,1806-3713,1806-3756,3,3,45,
scl,S1806-37132019000300152,undefined,jose alberto,neder,2019,jornal brasileiro de pneumologia,j bras pneumol,1806-3713,1806-3756,3,3,45,
scl,S1806-37132019000300151,undefined,juliana carvalho,ferreira,2019,jornal brasileiro de pneumologia,j bras pneumol,1806-3713,1806-3756,3,3,45,
scl,S2318-03312019000100230,research-article,ana paula,gomes,2019,rbrh,rbrh,1414-381X,2318-0331,,1,24,
scl,S0101-20612019005014103,research-article,adewale olusegun,omolola,2019,food science and technology,food sci technol,0101-2061,1678-457X,ahead,50,,
scl,S1984-63982019000200361,research-article,andrea barros carvalho de,oliveira,2019-06,revista brasileira de linguistica aplicada,rev bras linguist apl,,1984-6398,2,2,19,361
scl,S1984-63982019000200265,research-article,socorro claudia tavares de,sousa,2019-06,revista brasileira de linguistica aplicada,rev bras linguist apl,,1984-6398,2,2,19,265
scl,S0101-73302019000100314,research-article,carlota,boto,2019,educacao sociedade,educ soc,0101-7330,1678-4626,,1,40,
scl,S0080-62342019000100100,editorial,cibele andrucioli de mattos,pimenta,2019,revista da escola de enfermagem da usp,rev esc enferm usp,0080-6234,1980-220X,,1,53,
scl,S2317-64312019000100316,research-article,evilyn adrine americo dos santos,silva,2019,audiology communication research,audiol commun res,,2317-6431,,1,24,
scl,S0101-32892019000200169,research-article,jose francisco,chicon,2019-06,revista brasileira de ciencias do esporte,rev bras cienc esporte,0101-3289,2179-3255,2,2,41,169
scl,S0101-32892019000200183,research-article,braulio nogueira de,oliveira,2019-06,revista brasileira de ciencias do esporte,rev bras cienc esporte,0101-3289,2179-3255,2,2,41,183
scl,S0101-20612019000500309,research-article,maria de fatima lopes,fernandes,2019-06,food science and technology,food sci technol,0101-2061,1678-457X,,5,39,309
scl,S0102-09352019000300878,research-article,k y r,nakagaki,2019-06,arquivo brasileiro de medicina veterinaria e zootecnia,arq bras med vet zootec,0102-0935,1678-4162,3,3,71,878
scl,S0101-90742019000100405,research-article,maria luiza,schwarz,2019,historia sao paulo,historia,0101-9074,1980-4369,,1,38,
scl,S1807-86722019000100524,research-article,vinicius emanoel,carvalho,2019,acta scientiarum animal sciences,acta sci anim sci,1806-2636,1807-8672,,1,41,
scl,S0101-90742019000100406,research-article,muryatan santana,barbosa,2019,historia sao paulo,historia,0101-9074,1980-4369,,1,38,
scl,S1806-37132019000300208,research-article,thayla amorim,santino,2019,jornal brasileiro de pneumologia,j bras pneumol,1806-3713,1806-3756,3,3,45,
scl,S0101-20612019005014104,research-article,erman,duman,2019,food science and technology,food sci technol,0101-2061,1678-457X,ahead,50,,
scl,S0101-20612019005014102,research-article,nana,guo,2019,food science and technology,food sci technol,0101-2061,1678-457X,ahead,50,,
scl,S1807-86722019000100213,research-article,paula de oliveira,severo,2019,acta scientiarum animal sciences,acta sci anim sci,1806-2636,1807-8672,,1,41,
scl,S0080-62342019000100603,research-article,antonio fernandes costa,lima,2019,revista da escola de enfermagem da usp,rev esc enferm usp,0080-6234,1980-220X,,1,53,
scl,S1807-86722019000100408,research-article,ali reza,gerimipour,2019,acta scientiarum animal sciences,acta sci anim sci,1806-2636,1807-8672,,1,41,
scl,S0080-62342019000100439,research-article,andre luiz silva,alvim,2019,revista da escola de enfermagem da usp,rev esc enferm usp,0080-6234,1980-220X,,1,53,
scl,S0101-73302019000100313,research-article,manuel,meira,2019,educacao sociedade,educ soc,0101-7330,1678-4626,,1,40,
scl,S2237-96222019000200310,research-article,renata rodrigues garcia,lino,2019,epidemiologia e servicos de saude,epidemiol serv saude,1679-4974,2237-9622,2,2,28,
scl,S0103-50532019000701350,research-article,angelica f b,piccioli,2019-07,journal of the brazilian chemical society,j braz chem soc,0103-5053,1678-4790,7,7,30,1350
scl,S1414-81452019000300502,research-article,eliabe rodrigues de,medeiros,2019,escola anna nery,esc anna nery,1414-8145,2177-9465,3,3,23,
scl,S0101-32892019000200125,editorial,fernando,mascarenhas,2019-06,revista brasileira de ciencias do esporte,rev bras cienc esporte,0101-3289,2179-3255,2,2,41,125
scl,S0101-20612019005014101,research-article,sang hyun,lee,2019,food science and technology,food sci technol,0101-2061,1678-457X,ahead,50,,
scl,S0103-50532019000701515,research-article,graziela s,costa,2019-07,journal of the brazilian chemical society,j braz chem soc,0103-5053,1678-4790,7,7,30,1515
scl,S2317-64312019000100504,review-article,ana clara,engel,2019,audiology communication research,audiol commun res,,2317-6431,,1,24,
scl,S0102-37722019000100507,research-article,sofia,neves,2019,psicologia teoria e pesquisa,psic teor e pesq,0102-3772,1806-3446,,1,35,
scl,S0101-32892019000200176,research-article,harrison vinicius amaral da,silva,2019-06,revista brasileira de ciencias do esporte,rev bras cienc esporte,0101-3289,2179-3255,2,2,41,176
scl,S1807-86722019000100519,research-article,pedro da rosa,santos,2019,acta scientiarum animal sciences,acta sci anim sci,1806-2636,1807-8672,,1,41,
scl,S2179-80872019000400104,research-article,jeferson luiz dallabona,dombroski,2019,floresta e ambiente,floresta ambient,1415-0980,2179-8087,4,4,26,
scl,S0080-62342019000100440,research-article,bianca ribeiro porto de,andrade,2019,revista da escola de enfermagem da usp,rev esc enferm usp,0080-6234,1980-220X,,1,53,
scl,S0101-20612019005014106,research-article,shynar i,kenenbay,2019,food science and technology,food sci technol,0101-2061,1678-457X,ahead,50,,
scl,S0103-50532019000701468,research-article,jessica s,pizzo,2019-07,journal of the brazilian chemical society,j braz chem soc,0103-5053,1678-4790,7,7,30,1468
scl,S0101-73302019000100802,research-article,adilson cristiano,habowski,2019,educacao sociedade,educ soc,0101-7330,1678-4626,,1,40,
scl,S1807-86722019000100310,research-article,nayara emanoelle matos e,silva,2019,acta scientiarum animal sciences,acta sci anim sci,1806-2636,1807-8672,,1,41,
scl,S1984-63982019000200385,research-article,joel,windle,2019-06,revista brasileira de linguistica aplicada,rev bras linguist apl,,1984-6398,2,2,19,385
scl,S1414-81452019000300207,research-article,lucimar aparecida dos,santos,2019,escola anna nery,esc anna nery,1414-8145,2177-9465,3,3,23,
scl,S0103-50532019000701475,research-article,christian c,carmona vargas,2019-07,journal of the brazilian chemical society,j braz chem soc,0103-5053,1678-4790,7,7,30,1475
scl,S1806-37132019000300207,research-article,gabriela avila,marques,2019,jornal brasileiro de pneumologia,j bras pneumol,1806-3713,1806-3756,3,3,45,
scl,S1807-86722019000100520,research-article,wagner dias coelho de,oliveira,2019,acta scientiarum animal sciences,acta sci anim sci,1806-2636,1807-8672,,1,41,
scl,S0101-32892019000200190,research-article,silvan menezes dos,santos,2019-06,revista brasileira de ciencias do esporte,rev bras cienc esporte,0101-3289,2179-3255,2,2,41,190
scl,S1807-86722019000100407,research-article,mohammad,rafiei,2019,acta scientiarum animal sciences,acta sci anim sci,1806-2636,1807-8672,,1,41,
scl,S0101-20612019005014105,research-article,hatice,yildiran,2019,food science and technology,food sci technol,0101-2061,1678-457X,ahead,50,,
scl,S2179-80872019000400107,research-article,ricardo,mezzomo,2019,floresta e ambiente,floresta ambient,1415-0980,2179-8087,4,4,26,
scl,S2179-80872019000300133,research-article,grasiele,dick,2019,floresta e ambiente,floresta ambient,1415-0980,2179-8087,3,3,26,
scl,S0101-32892019000200157,research-article,paulo ricardo rezende,marques,2019-06,revista brasileira de ciencias do esporte,rev bras cienc esporte,0101-3289,2179-3255,2,2,41,157
scl,S0103-50532019000701483,research-article,qing,han,2019-07,journal of the brazilian chemical society,j braz chem soc,0103-5053,1678-4790,7,7,30,1483
scl,S1807-86722019000100214,research-article,fabiane,hoffmann,2019,acta scientiarum animal sciences,acta sci anim sci,1806-2636,1807-8672,,1,41,
scl,S0103-50532019000701558,research-article,josana p dos,santos,2019-07,journal of the brazilian chemical society,j braz chem soc,0103-5053,1678-4790,7,7,30,1558
scl,S0101-90742019000100408,research-article,gustavo acioli,lopes,2019,historia sao paulo,historia,0101-9074,1980-4369,,1,38,
scl,S1414-81452019000300205,research-article,nathalia cristine schuengue pimentel,cholbi,2019,escola anna nery,esc anna nery,1414-8145,2177-9465,3,3,23,
scl,S0101-32892019000200142,research-article,elias rocha de,azevedo filho,2019-06,revista brasileira de ciencias do esporte,rev bras cienc esporte,0101-3289,2179-3255,2,2,41,142
scl,S0103-50532019000701447,research-article,caio,rodrigues silva,2019-07,journal of the brazilian chemical society,j braz chem soc,0103-5053,1678-4790,7,7,30,1447
scl,S0103-50532019000701341,review-article,igor a,fioravante,2019-07,journal of the brazilian chemical society,j braz chem soc,0103-5053,1678-4790,7,7,30,1341
scl,S2179-80872019000300134,research-article,ane marcela das chagas,mendonca,2019,floresta e ambiente,floresta ambient,1415-0980,2179-8087,3,3,26,
scl,S0101-32892019000200150,research-article,lucas rogerio dos reis,caldas,2019-06,revista brasileira de ciencias do esporte,rev bras cienc esporte,0101-3289,2179-3255,2,2,41,150
scl,S0103-50532019000701534,research-article,evelyn f,pinheiro,2019-07,journal of the brazilian chemical society,j braz chem soc,0103-5053,1678-4790,7,7,30,1534
scl,S1807-86722019000100410,research-article,joao paulo de farias,ramos,2019,acta scientiarum animal sciences,acta sci anim sci,1806-2636,1807-8672,,1,41,
scl,S0103-50532019000701425,research-article,thiago dos,santos,2019-07,journal of the brazilian chemical society,j braz chem soc,0103-5053,1678-4790,7,7,30,1425
scl,S1807-86722019000100406,research-article,mohsen,khalili,2019,acta scientiarum animal sciences,acta sci anim sci,1806-2636,1807-8672,,1,41,
scl,S2358-04292019000100305,research-article,anna lucia spear,king,2019,medicalexpress,medicalexpress sao paulo online,2318-8111,2358-0429,,1,6,
scl,S0080-62342019000100441,research-article,maria fernanda baeta neves alonso da,costa,2019,revista da escola de enfermagem da usp,rev esc enferm usp,0080-6234,1980-220X,,1,53,
scl,S1984-63982019000200249,research-article,leandro rodrigues alves,diniz,2019-06,revista brasileira de linguistica aplicada,rev bras linguist apl,,1984-6398,2,2,19,249
scl,S0104-026X2019000200801,book-review,ells natalia galeano,gasca,2019,revista estudos feministas,rev estud fem,0104-026X,1806-9584,2,2,27,
scl,S0101-32892019000200127,research-article,naline cristina,favatto,2019-06,revista brasileira de ciencias do esporte,rev bras cienc esporte,0101-3289,2179-3255,2,2,41,127
scl,S0102-09352019000300983,research-article,g v,dessimoni,2019-06,arquivo brasileiro de medicina veterinaria e zootecnia,arq bras med vet zootec,0102-0935,1678-4162,3,3,71,983
scl,S2179-80872019000400105,research-article,ilvan medeiros,lustosa junior,2019,floresta e ambiente,floresta ambient,1415-0980,2179-8087,4,4,26,
scl,S0102-311X2019000705006,research-article,jeremy a,labrecque,2019,cadernos de saude publica,cad saude publica,0102-311X,1678-4464,6,7,35,
scl,S2237-96222019000200311,research-article,jaqueline goncalves,domingues,2019,epidemiologia e servicos de saude,epidemiol serv saude,1679-4974,2237-9622,2,2,28,
scl,S0102-311X2019000708002,book-review,rosana,castro,2019,cadernos de saude publica,cad saude publica,0102-311X,1678-4464,6,7,35,
scl,S0102-09352019000300977,research-article,j b,luz,2019-06,arquivo brasileiro de medicina veterinaria e zootecnia,arq bras med vet zootec,0102-0935,1678-4162,3,3,71,977
